"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","552","Login with correct email and password","LMS service","Mon Aug 04 18:34:57 GMT 2025","passed","Mon Aug 04 18:34:58 GMT 2025","Login","Authentication","",""
"","15","Get user me","LMS service","Mon Aug 04 18:35:04 GMT 2025","passed","Mon Aug 04 18:35:04 GMT 2025","Get entity","Users","",""
"","548","Create user","LMS service","Mon Aug 04 18:35:03 GMT 2025","passed","Mon Aug 04 18:35:03 GMT 2025","Create entity","Users","",""
"","32","Update course","LMS service","Mon Aug 04 18:34:59 GMT 2025","passed","Mon Aug 04 18:34:59 GMT 2025","Update entity","Courses","",""
"","27","Create file","LMS service","Mon Aug 04 18:35:00 GMT 2025","passed","Mon Aug 04 18:35:00 GMT 2025","Create entity","Files","",""
"","18","Create file with empty directory","LMS service","Mon Aug 04 18:35:02 GMT 2025","passed","Mon Aug 04 18:35:02 GMT 2025","Validate entity","Files","",""
"","21","Delete file","LMS service","Mon Aug 04 18:35:03 GMT 2025","passed","Mon Aug 04 18:35:03 GMT 2025","Delete entity","Files","",""
"
        Тест создания задания через API.

        :param exercises_client: Клиент для работы с заданиями

        ","25","Create exercise","LMS service","Mon Aug 04 18:34:59 GMT 2025","passed","Mon Aug 04 18:34:59 GMT 2025","Create entity","Exercises","",""
"","525","Create user","LMS service","Mon Aug 04 18:35:03 GMT 2025","passed","Mon Aug 04 18:35:04 GMT 2025","Create entity","Users","",""
"
        Тест создания курса через API.

        :param courses_client: Клиент для работы с курсами
        :param function_file: Фикстура файла для preview
        :param function_user: Фикстура пользователя как создателя курса
        ","37","Create course","LMS service","Mon Aug 04 18:34:58 GMT 2025","passed","Mon Aug 04 18:34:58 GMT 2025","Create entity","Courses","",""
"","16","Get file","LMS service","Mon Aug 04 18:35:00 GMT 2025","passed","Mon Aug 04 18:35:00 GMT 2025","Get entity","Files","",""
"","287","Create user","LMS service","Mon Aug 04 18:35:03 GMT 2025","passed","Mon Aug 04 18:35:03 GMT 2025","Create entity","Users","",""
"","259","Create file with empty filename","LMS service","Mon Aug 04 18:35:01 GMT 2025","passed","Mon Aug 04 18:35:02 GMT 2025","Validate entity","Files","",""
"
        Негативный тест: Получение файла с некорректным идентификатором.

        Отправляет GET-запрос к /files/{file_id} с недопустимым UUID.
        Ожидается статус-код 422 (Unprocessable Entity) и
        соответствующая ошибка валидации типа 'uuid_parsing'.
        ","18","Get file with incorrect file id","LMS service","Mon Aug 04 18:35:03 GMT 2025","passed","Mon Aug 04 18:35:03 GMT 2025","Validate entity","Files","",""
